Column2,Column3,Column4
?,4,nan
----------------,4,nan
    有个东西,4,nan
-----------------,4,nan
       。           。        ,4,nan
  6666,4,nan
 666成功吓到我。吓得我慌得一批。,3,nan
 Boss关阿这是,4,nan
  白米是男的，什么是女的？,4,nan
----------------------------------------------------------------------------------------------------,4,nan
 5,4,nan
 caonima说新疆人,4,nan
————————————————————,4,nan
―――――――――――――――――――――――――――――――――――――――――――――,4,nan
 yeeeeh水瓶座??闪亮登场,4,nan
 被鬼追时进屋才用关门,4,nan
                        。               。                  ,4,nan
 不开弹幕会 si伦的,4,nan
 单带,4,nan
            。               。            ,4,nan
 阿平救我,4,nan
 阿姨压一压姨～,4,nan
            叽叽喳喳,4,nan
           ■■,4,nan
 白米在哭我在笑,4,nan
 恶灵换电池,4,nan
 高能君哪,4,nan
          。             。        ,4,nan
 弹幕护体弹幕护体弹幕护体,3,nan
   吃泡面+3,4,nan
"  Evil spirit retreats, and awada demands his life",4,nan
  感觉面临死亡其实不怎么恐怖,4,nan
 护身符：你要我何用？,4,nan
 护身符对女鬼以外的不管用,4,nan
  狮子座。,4,nan
 凌晨一点,4,nan
 护身符对女鬼以外的不管用,4,nan
  要坚强,4,nan
 。。,4,nan
 来吧，让你死的更惨一些吧！,4,nan
 没有字幕，我怕呀。,1,nan
 那些神器都有黑色羽毛，这个没有。,4,nan
 你可以在存档点看到小姐姐的脸了,4,nan
 秦王还柱而走,4,nan
 啥高能?,4,nan
 gggm,4,nan
 阿婆主辛苦啦,0,nan
 吃高能君,4,nan
 对不起我好想笑啊,0,nan
 哈哈红红火火恍恍惚惚,0,nan
 摸摸大白米,4,nan
 你看up笑的多开心啊,4,nan
 射手座路过。,4,nan
 说用变声器的一定不是粉丝,4,nan
 不哭不哭不哭，我们陪着你呢啊,4,nan
 前方小姐姐预警,4,nan
 确认存活,4,nan
 危,4,nan
 为什么感觉主角出这话的时候好轻松啊。一点都不害怕。,4,nan
！,4,nan
 我被尖叫声吓着了,3,nan
 吓的我腿抽筋！！！,3,nan
！,4,nan
 吓死了,3,nan
 响起音乐了,4,nan
！,4,nan
！弹幕呢！,4,nan
#G我叼你马,2,nan
 我这个路痴表示已晕,1,nan
 又疯了一个,4,nan
 吱～～～,4,nan
 所以有了金,4,nan
 哇，米米好厉害，(假装配合),4,nan
 完结撒花~虽然结局让我有点揪心,0,nan
 注意前方千手观音高能！！！,4,nan
 我真的很不错,4,nan
（个人观点，勿喷，狗头保命）,4,nan
 心心念念我的南孚电池,4,nan
 又双叒叕懂了,4,nan
 召唤小姐姐,4,nan
 真香！！！！！！！！,4,nan
！！！,4,nan
！？。，！,4,nan
*,4,nan
！！！,4,nan
！？？？？？？？？,4,nan
*,4,nan
！前方高能预警！,4,nan
 相识就像是一场梦。,4,nan
，,4,nan
！天秤！,4,nan
（︶︿︶）,4,nan
！！！！！,4,nan
！！！！！！,4,nan
(*￣3￣)╭?,4,nan
！！！！！！！！！！,4,nan
，,4,nan
！！！！！！！！！！,4,nan
，,4,nan
"""紧张""的速度快了一倍233",4,nan
！！！！！！！！！！！！！,4,nan
，,4,nan
！！！！！！！！！！！！！！！！！！！！！,4,nan
(*≧▽≦)ツ┻━┻[翻桌狂笑],0,nan
！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,4,nan
，，，阿婆主声音反而是吸引我的地方,4,nan
（ 问题不大）啊啊啊啊啊啊啊啊啊,3,nan
.,4,nan
(???????????)没没没没有（害怕）,1,nan
(*???*;),4,nan
(*?_?)ノ<(＃＃)>彡来个烤红薯冷静一下,4,nan
！！！！处女座！！,4,nan
！！！！好的,4,nan
(*?_?)ノ<(＃＃)>彡来个烤红薯冷静一下,4,nan
！！！！好攻！！！,4,nan
！！！！水瓶座?lei了,4,nan
(*?_?)ノ<(＃＃)>彡来个烤红薯冷静一下,4,nan
！！！前方高能！！！这不是在演习！！！非战斗人员请立即撤离！！！再说一遍！！！这不是演习！！！,4,nan
！！！前方高能！！！这不是在演习！！！非战斗人员请立即撤离！！！再说一遍！！！这不是演习！！！,4,nan
.,4,nan
！！！前方高能！！！这不是在演习！！！非战斗人员请立即撤离！！！再说一遍！！！这不是演习！！！,4,nan
.,4,nan
.,4,nan
(*?_?)ノ<(＃＃)>彡来个烤红薯冷静一下,4,nan
！！！前方高能！！！这不是在演习！！！非战斗人员请立即撤离！！！再说一遍！！！这不是演习！！！,4,nan
.,4,nan
.,4,nan
(*?_?)ノ<(＃＃)>彡来个烤红薯冷静一下,4,nan
.,4,nan
.,4,nan
！！！前方高能！！！这不是在演习！！！非战斗人员请立即撤离！！！再说一遍！！！这不是演习！！！,4,nan
.         .,4,nan
"(,,??ω?)ノ""(?っω?｀。)",4,nan
"(,,??ω?)ノ""(?っω?｀。)",4,nan
